# Plate      RA           DEC       xFocal      yFocal
  9459    154.33393   -46.834919  -46.371338  102.774900
  9752    160.301350  -59.973599  115.434440   33.376834
  9753    197.971060  -63.303019   78.686134  138.314060
  9754    197.971060  -63.303019   78.707542  138.302690
  9755    199.305600  -62.625980   23.869065  -74.637917
  9756    199.305600  -62.625980   23.905384  -74.648831
  9757    272.055610  -24.705570  174.833060  163.996700
  9693    139.173850  -48.105083 -190.046140  -33.400229
  9694    139.141540  -47.703034 -184.622490 -166.385040
  9695    138.336920  -47.653263   -5.671772 -183.522080
  9696    138.945610  -48.829048 -137.971280  205.293650
  9697    139.121950  -47.722576 -180.158410 -159.938490
  9698    137.487160  -48.748688  179.630870  179.166700
  9699    229.870680  -43.307477   14.347668  187.924980
  9700    229.364870  -43.383950  135.856300  213.974080
  9701    183.031900  -74.079305  -90.369208 -176.884390
  9702    184.223630  -74.900246 -188.297900   96.758858
  9703    149.972560  -39.502232 -217.643210    1.616292
  9704    149.207380  -39.278771  -22.712723  -73.010152
  9705    123.267080  -56.197763 -137.387920  171.009630
  9706    123.012560  -56.317181  -90.373349  210.072090
  9707    127.388900  -17.702412 -136.280030   83.246462
  9708    103.180940  -29.358285  221.292930  -11.054680
  9709     96.692062  -16.734051  168.794710  182.876000
  9710    156.175460  -51.160930  170.943740  173.201740
  9711    207.957860  -55.449813 -110.339330 -193.305190
  9712    207.457840  -56.279473  -16.299329   80.008249
  9713    215.584440  -67.728655 -208.141900   56.181507
  9714    205.637030  -50.587453 -118.711360  106.209750
  9715    214.272820  -48.171279  -36.223410 -151.126550
  9716    234.701410  -55.059552  248.830440   26.413904
  9717    236.938780  -55.043945 -174.380700   20.032307
  9718    241.532980  -44.509449 -115.533430  -35.910652
  9719    181.595530  -50.261683  144.286570   35.728553
  9720    170.302370  -73.270709 -172.805090  -61.063519
  9721    230.381450  -49.614492  -28.511657 -103.509030
  9722    244.690690  -40.935993  223.980380 -119.073620
  9723    246.202370  -41.131447 -152.654650  -54.965241
  9724    244.845930  -40.944199  185.048630 -116.620970
